노인복지관명,소재지도로명주소,위도,경도,개관일자,위탁기관,시설현황,주요사업,홈페이지주소,전화번호,팩스번호,관리기관명,관리부서명,데이터기준일자
강북노인복지관,대구광역시 북구 칠곡중앙대로91길 21 (관음동),35.93624,128.54671,2000-12-01,사)상록수재단,강당+당구장+탁구장+노래방+서예실+컴퓨터실+식당,평생교육+건강증진+급식지원+독거노인지원+이미용서비스 등,www.kbsilver.or.kr,053-313-6644,053-313-6645,대구광역시 북구청,복지정책과,2025-01-26
함지노인복지관,대구광역시 북구 동암로 180 (구암동),35.94289,128.57034,2011-04-27,사)효성복지재단,강당+당구장+탁구장+노래방+서예실+컴퓨터실+바둑장기교실+식당,평생교육+건강증진+고용지원+정서생활지원+자립지원+사회참여지원 등,www.withhamji.or.kr,053-326-3394,053-665-4299,대구광역시 북구청,복지정책과,2025-01-26
대불노인복지관,대구광역시 북구 검단로 8-14 (복현동),35.89869,128.61689,2003-09-26,사)가정복지회,다목적실+탁구장+노래방+서예실+당구장+컴퓨터실+물리치료실+식당,평생교육+건강증진+정서생활지원+독거노인자립지원+사회참여지원+소득지원 등,www.dbsenior.or.kr,053-381-8310,053-381-8316,대구광역시 북구청,복지정책과,2025-01-26
북구노인복지관,대구광역시 북구 성북로 49 (침산동),35.89188,128.5889,1998-03-11,사)전석복지재단,강당+노래방+탁구장+컴퓨터실+서예실+게이트볼장+식당,평생교육+건강증진+정서생활지원+독거노인자립지원+사회참여지원+소득지원 등,www.bknobok.or.kr,053-353-9633,053-353-9634,대구광역시 북구청,복지정책과,2025-01-26
